label,h_height_A,dft_energy_eV,mace_energy_eV,dft_relative_energy_eV,mace_relative_energy_eV,relative_energy_error_eV,dft_h_fz_eV_per_A,mace_h_fz_eV_per_A,h_fz_error_eV_per_A,inference_seconds
r3,0.5731170246999966,-490.12238227,-488.02926630219554,0.7221046000000229,1.0204749481844146,0.2983703481843918,2.082787,3.6618964519217636,1.5791094519217634,1.3704726999858394
r1,0.7731170248999888,-490.5043459,-488.6674611351544,0.34014097000004995,0.38228011522556926,0.042139145225519314,1.659129,2.5654847365937092,0.9063557365937092,1.7527045999886468
r5,0.973117025199997,-490.75866753,-489.01185557830195,0.08581934000000047,0.03788567207800497,-0.04793366792199549,0.860898,0.8256662574509133,-0.035231742549086786,1.2272533999930602
r8,1.0731170247999984,-490.82320878,-489.04974125037995,0.021278090000009797,0.0,-0.021278090000009797,0.428036,-0.05064052906319192,-0.47867652906319197,1.205486099992413
r0,1.1731170247999927,-490.84448687,-489.0071584998402,0.0,0.04258275053973648,0.04258275053973648,0.000248,-0.7671318308901849,-0.7673798308901849,1.070072500006063
r7,1.2731170248000012,-490.82393648,-488.90326085388335,0.020550390000039442,0.1464803964965995,0.12593000649656005,-0.403695,-1.2793550050220894,-0.8756600050220894,1.1287753000215162
r6,1.3731170248999973,-490.76455837,-488.7560414360752,0.07992850000005092,0.2936998143047731,0.21377131430472218,-0.771922,-1.6498366577887755,-0.8779146577887755,1.0744534999830648
r2,1.5731170242999895,-490.54679647,-488.3631214471541,0.2976904000000218,0.6866198032258239,0.38892940322580216,-1.369064,-2.265044509293678,-0.8959805092936779,1.0648164000012912
r4,1.7731170248000012,-490.22984756,-487.8674282257236,0.6146393100000296,1.1823130246563665,0.5676737146563369,-1.764092,-2.598662152961278,-0.8345701529612779,1.3608820000081323

